users_id,description,keywords,authors,view,google_scholar,title,likes
2,"The use of the Internet has become a part of our daily life. The Internet was initially used for information exchange, but in recent years, with the development of high-speed networks and a variety of terminal devices, the Internet has developed from information exchange to information interaction. The Internet has been widely used in education, and","social media, facebook, interaction","Nikolaos Moustakas, Chryssochos Kotzanikolaou",False,False,Internet as a social media: a new form of communication,3
11,The purpose of this study was to evaluate the effect of adding pre-exercise light-intensity aerobic exercise (LIAE) to a program of high-intensity interval training (HIIT) on the 20-meter sprint and change-of-direction (COD) performance in previously,"Exercise, Interval training","Sara E. Kohuth, Amanda E. Keeler, Brandon L. Santos, Trevor T. Michalski, Cameron E. Kohuth, David L. Palmer, and Mark Tarnopolsky",False,False,HIIT plus light-intensity aerobic exercise improves sprint and change-of-direction performance in young athletes,3
2,Wildcard Queries in Relational Data Cubes\r\n\r\nAbstract:\r\n\r\nWe introduce wildcard queries as a querying mechanism for data cubes. These queries are defined in the context of a concept lattice. The semantics of wildcard queries is,"Data cube, wildcard queries, ontology, concept lattice","Giorgos Gogoulou, Georgios Tzoumas",True,False,Wildcard Queries in Relational Data Cubes,0
10,"The study examined the impact of a large-scale new building project on the livelihoods of the surrounding community in a small town in Southern Africa. The town is a hub for a variety of economic activities, including agriculture and tourism. The study used a mixed method approach to collect data from a sample of 1","community development, social change, sustainable development, livelihoods, case study, qualitative research",Nonyameko M.,False,False,The Impact of a New Building on the Livelihoods of the Surrounding Community,2
8,Identifying the factors that stimulate and retard the development of the service industry: A study on the service industry of Shandong Province,"service industry,economic growth,tourism industry,service,industry","Hong, Yong",True,True,Study on the development of the service industry of Shandong Province,0
2,"We propose a new mixed-integer linear program (MILP) model for the design of hybrid energy systems (HESs) for a given load, which consists of a wind turbine (WT), a solar photovoltaic (PV) system, a battery energy storage system (BESS),","hybrid energy system, energy storage, battery, wind turbine, photovoltaic system",Kartik Mishra,True,False,Design of Hybrid Energy Systems in Smart Grids Using Mixed-Integer Linear Programming,0
11,"Some texts have many different appearances, or forms. For example, all the words in the New","text mining, text analysis, social media, sentiments, text data, social networks","D. Bamidele, M. Abayomi, G. O. Odutayo",False,False,A Framework for Social Network Analysis of Tweets,2
11,Thermal Stress Relaxation in Tungsten-Silicide/Tungsten-Nitride,"[‘metal’, ‘tungsten’, ‘tungsten compounds’, ‘silicon’, ‘silicon compounds’, ‘silicon nitride’, ‘silicide’, ‘tungsten nitride’, ‘stress relaxation’]","G. Fan, S. Zhang, J. Wang, Y. Xu, W. Tang, X. Yang,",True,False,Effect of Stress Relaxation on Biaxial Creep in Tungsten-Silicide/Tungsten-Nitride,2
7,Exploring the relationship between the consumers' knowledge of environmental impacts and their willingness to pay for eco-friendly products in the context of a cleaner and greener environment.,"environmental impacts, consumers' knowledge, willingness to pay, eco-friendly products, cleaner and greener environment","Sonia Jhamb, Shubham Mahajan",True,True,Exploring relationship between the consumers' knowledge of environmental impacts and their willingness to pay for eco-friendly products in the context of a cleaner and greener environment,1
10,The purpose of this study is to compare the single and double-sided laparoscopic‐assisted total hip arthroplasty (LATHA/DLATHA) with respect to the clinical outcomes and complications and to determine the learning curve for each procedure. This is a retrospective,"Hip Arthroplasty, Laparoscopic Surgery, Hip Replacement Surgery, Single-Incision Surgery","Bhupender K. Mittal, Michael W. C. Chen, Laxman P. Gadhia, Praveen K. Reddy, Ali S. Mesiwala,",True,False,Single and Double-Sided Laparoscopic‐Assisted Total Hip Arthroplasty: A Comparative Study,1
